subject,gender,age,nationality,art_training_scores,complexity_strategy,most_complex,beauty_strategy,most_beautiful,open_comments,num_failed_attention_checks,num_attention_checks,set,time_taken
7u6gcxna,female,44,White,"[2, 0, 2, 1, 1, 0, 3, 0, 0, 1, 0]","The more patterns they had, the more complex they got.",The ones that had multiple blocks.,I just looked at them and decided what I liked.,I found that I liked the ones that had a steady pattern to be the most beautiful.,,0,3,3,12.533333333333333
0kwk7exg,male,26,USA,"[2, 2, 1, 2, 3, 3, 0, 2, 1, 3, 2]",An asymmetric pattern was a more complex pattern to me,Patterns that were not symmetric and had many alternating block colors next to each other,Symmetric patterns were more beautiful to me,Symmetric patterns with many alternating blocks next to each other,,0,2,3,9.766666666666667
dxzntnqu,male,26,Hispanic,"[4, 4, 4, 4, 4, 4, 3, 4, 6, 6, 5]",I rated each pattern based on the space used and color coordination.,The most complex patterns were often the ones that were asymmetrical.,I rated beauty based on my own artistic taste and how I would approach making a pattern. ,The most beautiful ones were the asymmetrical ones and the patterns that did not seem to fit into your basic pattern types.,None.,0,2,4,13.433333333333334
2jt8ucvo,female,24,USA,"[3, 2, 2, 2, 1, 3, 0, 0, 1, 4, 0]","If I couldn't find a pattern, it was complex. 
If the pattern was not simple, it was complex.","The ones that were most complex, were ones that I couldn't find a pattern to. I envisioned it on a paper and some could be cut in half or quarters and I could see the original pattern. If i couldn't do that, it was complex.","Scientifically, humans like patterns. For me, if it was too complex, I just didn't like how it looked.",Simple to moderate complex patterns were what caught my eye.,,0,2,1,12.866666666666667
nadcdekl,male,40,USA,"[3, 2, 1, 2, 1, 1, 1, 1, 0, 6, 0]",My opinion,More pixels,My opinion,Symmetric,,0,3,3,10.083333333333334
8545m62z,female,28,American,"[3, 2, 2, 2, 2, 3, 1, 0, 2, 4, 3]",I based complexity on how difficult it would be to replicate.,The patterns that seemed to lack a pattern were most complex to me.,I would rate beauty based on my personal aesthetic.,Patterns that were simple and seemed to not have so many sharp edges or appear as digitized. ,no,1,3,1,16.216666666666665
8ykdb4ly,female,38,USA,"[3, 2, 2, 2, 1, 2, 2, 2, 0, 2, 0]",If it looked like it had more going on it looked more complex,The more busy patterns,The more symmetrical ones were more beautiful,The more symmetrical and complex,no,0,3,4,12.65
01tbfesn,female,20,White,"[2, 1, 1, 3, 2, 3, 2, 0, 2, 5, 1]",I observed the image and tried to see if I could do it. If it had straight lines it would be less complex and vis versa ,The most complex patterns were the ones that had no straight blanked out spaces ,I simply trusted in myself and rated them by what I believed looked good. ,The most beautiful to me were the ones that had a familiar shape or apperance. ,,0,2,4,21.733333333333334
akbknbsa,male,24,Hispanic,"[4, 4, 4, 4, 4, 3, 4, 1, 6, 6, 1]",looking at each patterns ,the one that have more detail to it especially with those colors makes you look at it more than once,looking at each form of pattern ,how each one has its own detail an makes a unique shape,that i have fun doing it ,0,2,3,13.8
w2qqt6ag,female,28,American,"[4, 3, 4, 3, 2, 1, 4, 1, 3, 4, 0]","Whether or not the patterns looked random, or whether they appeared to have been intentionally laid out ",Symmetrical patterns that created intentional shapes or patterns,Using a gut instinct- whether or not it was appealing to the eye,Patterns that showed symmetry and pattern but weren't overly busy,,0,2,1,5.483333333333333
yg76n83p,female,19,United States,"[1, 3, 1, 3, 1, 3, 0, 0, 1, 4, 0]",the amount of stokes and the variety. How hard I though it would be to make. ,The ones that made patterns by creating black squares. ,How appealing I found it.,The ones that created real sequences and weren't just random configurations. ,,0,2,3,7.366666666666666
tud14znw,female,22,American,"[2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]",If they had alot of patterns they were complex to me.,I think the ones that had designs were more complex.,I think things that looked symmetrical were beautiful.,Symmetrical ,,0,2,1,9.233333333333333
gstojzc9,female,50,USA,"[4, 4, 3, 4, 3, 4, 2, 2, 3, 4, 4]",Just  how difficult it looked to reproduce ,The ones that were symmetrical and created optical illusions,My gut feelings,Ones that would look nice as a repeated print ,No,0,3,2,8.533333333333333
oylrvmmg,male,42,African American,"[3, 2, 1, 2, 1, 1, 0, 0, 0, 0, 0]",If the picture had multiple patterns.,The patterns that zig zagged.,If i found it pleasing to my eye,The patterns that flowed.,Thank you for the opportunity to do this survey.,0,3,2,19.216666666666665
qp962x9p,female,27,USA,"[4, 3, 3, 3, 3, 3, 4, 1, 1, 4, 0]","I tried to see where the placement of the black blocks were, how the pattern was laid, and how much effort was made it make it look attractive. ","The ones that are super detailed but also are methodical, and not just randomly placed. ",I tried to see what was most appealing to the eye. I really like patterns so those are what I gravitated towards. ,The intricate ones that had a nice design and pattern that looked hard to create and appealing to the eye. I also really liked the simple patterns. ,,1,3,3,6.8
u93xuupa,female,19,USA,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 2]","Usually, a greater amount of differently colored pixels equated greater complexity.",The random ones with many pixels.,If the pattern was pleasing to the eye.,The symmetrical ones with not too many pixels.,,0,3,4,10.416666666666666
dhfn578s,female,32,white,"[4, 1, 0, 3, 2, 1, 3, 1, 1, 3, 0]",How much black space was used and designs. ,The patterns with more coverage in black.,What image came to me while looking at the patterns.,The patterns with a nice coverage of black and white. ,,0,3,2,18.783333333333335
e9edn9al,male,40,United States,"[3, 3, 4, 3, 3, 4, 1, 3, 1, 5, 1]",how much it formed a pattern and the number of cells shaded.,the type that looked like they were planned,I thought of them as quilt squares,symmetrical,no,0,2,3,10.15
bjh8lvel,male,32,US American,"[4, 4, 2, 4, 3, 4, 2, 2, 5, 6, 0]","-How symmetric the pattern is. Asymmetric patterns can look more complex.

-How large the pattern is. Larger patterns can look more complex.",Asymmetric patterns without a lot of empty space.,I judged the patterns on symmetry and how much the pattern looked like a design.,"Typically, the patterns that were symmetrical and looked like a design or shape received a higher score.",Thank you for the opportunity to participate in this study!,1,3,4,22.916666666666668
d207yulz,female,33,usa,"[4, 4, 1, 4, 4, 4, 1, 1, 4, 5, 2]",how busy it felt,the ones that had equal black and red,how much i liked the pattern,the symmetrical ones,,0,3,2,62.483333333333334
zg72ngl6,female,64,United States,"[4, 4, 3, 4, 4, 4, 1, 1, 4, 6, 0]",I looked for patterns in the image and thought and rated the images with the most pattern as more complex.,The Patterns that were equally spaced seemed the most complex.,I based Beauty on patterns that seemed balanced and visually appealing.,Patterns that were balanced and not very crowded were the most beautiful to me.,Interesting study thank you.,1,3,3,17.55
jjs7ytws,male,39,United States,"[3, 2, 3, 3, 2, 3, 1, 4, 3, 3, 2]",How many parts it has.,full of black and white alternation in a picture.,Whether it is symmetry.,Symmetrical patterns.,none,3,3,1,8.916666666666666
e2mf6lm0,female,31,USA,"[3, 2, 2, 3, 3, 2, 1, 2, 2, 4, 1]",variation in pattern or if I could not detect a pattern or reflection,where it was most skewed ,symmetry. and personal preference. i personally don't like empty space.,symmetrical with least empty space,personal preference only i like empty space in abstracts with flowing lines. dislike with blocks,0,3,1,17.516666666666666
csa6g17h,male,61,USA,"[3, 1, 1, 2, 1, 1, 1, 0, 0, 6, 0]",rating degree of symmetry and randomicity ,crowded and not symmetrical,symmetry,symmetrical,,0,3,3,11.8
64pxyogy,male,25,white,"[3, 1, 2, 2, 1, 2, 1, 1, 0, 4, 0]","My complexity rating was based o how much work would have to go into recreating the art. If the pixels were random it was rather complex, and if there were many pixels that were black it was also complex.",The patterns that were 50/50 color wise and random placement of pixels were most complex.,Beauty was based on the symmetry of the pattern but also just my first reaction. It didn't have to be symmetrical to be beautiful.,"Many of the symmetrical patterns with lost of complexity were beautiful, but there was a few relatively low complexity patterns that had a lot of open space with an ""object"" highlighted by the open space.",,0,3,4,11.733333333333333
mulbvg0q,female,40,Caucasian,"[3, 1, 1, 0, 2, 3, 0, 0, 0, 5, 0]",The strategy I used was if there was a clear and distinct pattern.,Ones that obviously had a shape to them and weren't just a mishmash of pixels everywhere.,I rated it by how much I liked the image.,Ones that actually formed shapes.,Nope.,0,2,1,6.566666666666666
5ee4f2wx,female,27,american,"[3, 3, 3, 3, 2, 2, 1, 4, 3, 3, 3]",I thought about if it was difficult to remember the placements of the black and white. ,The complex patterns are the patterns that were difficult for me to remember ,Symmetry or some sort of pattern,Balanced patterns.,nope,0,2,1,28.7
pvlmbk0g,male,30,United States,"[2, 3, 3, 3, 2, 3, 2, 1, 2, 5, 0]",How much work it looked to create the pattern.,The ones that had a lot of different shapes. They were varied throughout the pattern.,I looked for symmetry within the pattern. Balance of light and dark,The patterns that were symmetrical ,No,0,3,2,10.15
0dkmq0qq,female,27,U.S.,"[3, 3, 1, 3, 1, 3, 1, 1, 0, 5, 1]",The number of pixels that were different from each other.,The most pixels that were differing.,"More random, just if it was visually appealing",The most beautiful ones to me were the symmetrical ones,,0,3,1,6.2
4ewueo7b,female,18,American,"[3, 3, 2, 3, 2, 3, 2, 2, 3, 4, 3]",How many squares,The most squares,Symmetry,Symmetrical ines,,0,3,1,5.016666666666667
3ch8af03,female,30,American,"[4, 3, 2, 3, 2, 3, 3, 2, 3, 6, 1]",If I was able to pick up on a pattern or if it seemed like a pattern I could replicate then typically I considered it to be lower in complexity,The patterns that I could not make sense of,I rated beauty based on symmetry and my opinion of beauty ,Most of the patterns I preferred were symmetrical and subjectively more appealing to me,N/A,0,3,2,16.35
dohoar1y,male,38,American (USA),"[1, 3, 2, 3, 3, 3, 2, 3, 4, 3, 3]",how busy the pattern was,the ones with a lot of white and black portions close together.,symmetry.,the ones that were symmetrical.,nope.,1,2,2,6.05
w0gb4umt,female,41,USA,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","I though about how difficult it would be to create, and how much detail and symmetry was involved.",The highly detailed and symmetric patterns.,Just based on how it made me feel (good or neutral) and how pleasing it was to look at.,"The ornate, symmetrical ones.",n/a,0,3,1,16.216666666666665
4hc94y39,other,19,African American,"[3, 3, 3, 2, 2, 3, 4, 2, 4, 6, 0]",I rated complexity where you could tell that  a lot of pixels were used to create the pattern.,"Ones that used the black and white composition  throughout the whole image, and not just once or twice. ","Whether or not I could recognize  that it had a pattern, or if it just didnt confuse me or look plain","The ones that looked like flowers, or the one ones that had like a cube line with designs in the middle.",,0,2,2,7.0
s3hpzfsw,female,24,American,"[4, 4, 3, 4, 4, 4, 3, 1, 6, 6, 6]",The amount of variance between the small squares.,The ones with any alternating black and white sections,Symmetry,The ones with more symmetry or just visual interest,,2,3,3,7.216666666666667
rdansgx8,female,20,American,"[3, 3, 3, 3, 3, 3, 3, 1, 2, 5, 0]",how intricate,about 50/50 black and white,if i immediately liked it or not,Symmetric ones,,0,2,4,7.65
t4jc0fl5,female,20,American,"[3, 3, 2, 3, 1, 2, 3, 2, 1, 5, 1]",how difficult i thought it would be to recreate and how many pixels there were. More pixels made it more complex.,the ones with lots of pixels that also looked symmetrical ,"based on my first impression. if i liked the way it looked, i rated it higher",the ones that were symmetrical and nice to look at. ,no,0,3,2,16.433333333333334
vudbql53,male,19,American,"[1, 2, 3, 2, 1, 1, 0, 1, 0, 0, 0]",Usually being more symmetrical or like resembling a design I could see somewhere was more complex,The ones that had a lot of the blocks colored in a large design with a bunch of shapes,"If it looked like it was very complex, it tended to be more beautiful","The ones that looked like they had hearts or people kissing
",,0,2,3,7.0
592ufo9q,female,37,American,"[4, 4, 4, 4, 4, 3, 4, 2, 2, 6, 2]","how many blocks were on the page, arrangement, pattern",ones where a lot of blocks and space were used,how appealing it was to the eye,snowflake ones,it was very interesting and enjoyable. I liked looking at all the different arrangments,0,2,4,8.233333333333333
1l1l5w4m,female,20,african american,"[3, 2, 3, 3, 2, 2, 3, 0, 2, 6, 0]",how many squares were colored,the ones that had a few white spaces that had designs in them,if it had an image that looked appealing,the ones that had a cross,no,0,3,2,8.733333333333333
sdth2k4e,male,23,American,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","How involved the image was, how connected it seemed.",Ones with pixels that build off each other.,How much positive emotion it invoked in me.,"Simple, flowing.",,0,2,4,46.083333333333336
zkze2dnz,male,37,US,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",common sense,ones with most pixels,All ugly to me lol,symmetrical ,no,0,3,3,6.616666666666666
3kzwbxk9,female,30,American,"[3, 3, 3, 3, 3, 3, 2, 0, 2, 5, 0]",The number of white/black squares and whether I noticed a pattern amongst them.,The ones that didn't show a clear pattern.,Whether I could visualize an image within the pattern.,"The ones that seemed to have a flower, heart, or something I could relate to.",n/a,0,3,4,12.9
tro0hbkm,male,18,American ,"[2, 2, 2, 2, 2, 2, 3, 4, 3, 2, 3]",I looked at the visuals and decided weather or not I thought they were complex or not,The ones with the most figures inside ,I looked and decided weather or not the visuals were appealing ,The ones that were the most complex ,No.,0,3,2,6.933333333333334
6clz4chv,female,19,White,"[3, 2, 2, 2, 2, 3, 1, 0, 3, 6, 0]",Organized patterns vs unorganized ,unorganized patterns,If I liked them or not ,Organized patterns ,,0,2,3,7.5
o7yskkav,male,38,U.S.A.,"[3, 4, 3, 3, 3, 4, 1, 3, 3, 6, 3]",There was a threshold at which I perceived some highly patterned *symmetrical* images as less complex than *asymmetrical* images. My reasoning was that the symmetrical images could be produced with a smaller set of 'instructions' than the asymmetrical ones. ,The asymmetrical ones. ,"I relied upon a combination of my perception of 'strikingness' (see the Russian Formalist definition) and how similar the patterns were to other artworks I find beautiful (for example, intricate but non-mimetic Persian designs).",Patterns which included more dark than light.,"I think my appreciation for highly patterned symmetrical images may have decreased slightly as the experiment went on, due to repeated exposure.",0,3,1,12.716666666666667
hdtl9b0m,female,25,United States,"[4, 4, 4, 4, 4, 3, 2, 4, 4, 6, 3]","how difficult the patterns would be to create, how much black vs white was in a pattern",the ones that were not symmetrical and used up the most black and white spaces (didn't have all black or all white),I enjoyed looking at it,The symmetrical often were as well as interesting use of white or negative space. ,,0,3,4,8.416666666666666
c32hmudw,male,25,american,"[3, 4, 4, 4, 3, 3, 3, 0, 1, 6, 1]","simmetry, clusters, patterns",symmetrical,application of symmetry,symmetrical,,0,2,4,6.483333333333333
avym236x,female,33,American,"[4, 3, 1, 3, 3, 2, 2, 3, 3, 5, 4]",I looked primarily at how ''busy'' the design was and how symmetrical it looked.,The most complex patterns were the ones with no real rhyme or reason.,"Symmetry is beauty in my eyes, also sometimes minimalism.  ","The bold, symmetrical designs with a good amount of detail were the most beautiful.",no. It was fun.,0,3,2,11.35
vaf1f1md,female,31,USA,"[3, 4, 4, 4, 4, 4, 1, 4, 3, 6, 2]",How easily I could reproduce the image once I looked at it for a decent period of time.,The ones where I could not notice any patterns or repetitions.,"How confortable would feel seeing that image in a purely artistic scenario, be it in a gallery, or an album cover.","The most minimalistic ones, where there wasn't a sense of wasteful filling of the canvas.",This was probably the most enjoyable survey I've done since starting Prolific! Actually got me curious to read up on bit art. So thank you!,0,3,1,12.45
zezghkue,female,27,American,"[3, 2, 2, 3, 2, 3, 1, 4, 0, 4, 0]","If it would be difficult to reproduce I counted it as complex, but then that turned out to be true for most of them.","The uneven patterns, asymmetrical.","If I liked it, if I could picture it on my wall.","The weird ones, the asymmetical ones or the patterns on mostly white space.",No.,0,2,2,11.616666666666667
8zfjoonk,female,21,United States of America,"[2, 4, 1, 3, 3, 1, 1, 3, 1, 5, 2]",It depended on whether or not I could distinguish a pattern and if it just looked plain.,The ones with less connections and no clear pattern. Especially if they reminded me of QR codes,My opinion. Mostly if they were pleasant patterns,Uniform patterns,Nope,0,3,1,12.166666666666666
jrs0nzq6,female,26,USA,"[1, 1, 2, 2, 1, 1, 1, 1, 0, 3, 1]",How hard the squares looked to be placed,The ones with a lot of small squares all over or the ones that made an actual pattern ,"Which ever I liked, or wouldn't mind seeing again",The ones that looked like something,,0,3,1,7.616666666666666
36h54n4l,male,37,NA,"[2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",No strategy,Ametric,No strategy,None specifically,,0,2,2,9.4
rnl68qly,female,28,American,"[4, 3, 3, 3, 2, 3, 2, 1, 0, 3, 0]",The ease of pattern or symmetry. ,Patterns that wee abstract and lacked symmetry. ,Abstract ideas!,The very abstract patterns,,0,3,3,10.583333333333334
s71ptxaj,male,54,USA,"[3, 2, 4, 4, 3, 2, 3, 0, 0, 2, 0]",The more detail an image had the higher the complexity.,Patterns with many scattered dots throughout the image.,Mainly by how a symmetrical they appeared and the balance between black and white.,"Images which were framed, such as a framed cross.",,0,2,4,24.816666666666666
jpjuzrkv,female,23,American - Greek,"[4, 4, 4, 4, 4, 4, 4, 2, 1, 6, 1]","mainly how predictable a pattern was, along with how difficult it would be to make it.","the chaotic ones, as well as the ones that looked the fullest","mainly symmetry, but also if it reminded me of something or was satisfying in some other way - to me at least","the symmetrical ones that I could imagine side by side as tiles, looking nice when multiplied and set next to each other ",,0,2,3,11.25
rrjv9x40,female,61,USA,"[2, 2, 2, 2, 2, 3, 2, 0, 0, 3, 0]",primarily the more dots in the area and the more order there was in the dots the more complex,lots of dots but lots of order,lines of symmetry,"symmetrical patters, particularly those with many lines of symmetry",none,0,2,2,26.266666666666666
